10.1016/j.dib.2018.10.069,S0891584918312383
10.1016/j.dib.2021.106850,S0022286020318779
10.1016/j.dib.2021.106844,S1873506120304347
10.1016/j.dib.2016.02.001,S0006291X15001941
10.1016/j.dib.2020.105925,S0024493718304651
10.1016/j.dib.2019.104015,S1386653219300423
10.1016/j.dib.2014.11.003,S1874391914005466
10.1016/j.dib.2016.05.069,S0016648016301137
10.1016/j.dib.2018.01.093,S1359646217302853
10.1016/j.dib.2020.105272,S0014305719321846
10.1016/j.dib.2018.01.087,S0925838817326695
10.1016/j.dib.2020.105266,S0001706X19313713
10.1016/j.dib.2020.105500,S037811271932105X
10.1016/j.dib.2018.07.015,S0272771417311629
10.1016/j.dib.2017.11.025,S0308814617314152
10.1016/j.dib.2016.08.062,S0001706X1630170X
10.1016/j.dib.2020.106021,S0950061820314781
10.1016/j.dib.2021.107031,S1350630721002168
10.1016/j.dib.2017.01.019,S0360544217300452
10.1016/j.dib.2016.05.055,S1055790316300409
10.1016/j.dib.2016.05.041,S037811191630155X
10.1016/j.dib.2021.107025,S1364032121001908
10.1016/j.dib.2018.04.101,S0378112717318935
10.1016/j.dib.2016.03.038,S0925443916300035
10.1016/j.dib.2017.07.074,S0041008X17303113
10.1016/j.dib.2019.104559,S2214860418309576
10.1016/j.dib.2018.01.044,S0003986117306136
10.1016/j.dib.2015.09.041,S0360544215011548
10.1016/j.dib.2018.09.122,S0098847218305641
10.1016/j.dib.2018.11.050,S0026269217310017
10.1016/j.dib.2018.11.078,S0008622318307723
10.1016/j.dib.2019.104203,S0888754319300813
10.1016/j.dib.2016.03.004,S0378111915014687
10.1016/j.dib.2017.07.048,S0021915017302241
10.1016/j.dib.2014.10.006,S1874391914004618
10.1016/j.dib.2019.104571,S2352409X18308101
10.1016/j.dib.2018.04.129,S0269749117332116
10.1016/j.dib.2016.03.010,S0272494416300020
10.1016/j.dib.2019.104567,S187439191930171X
10.1016/j.dib.2014.10.004,S1874391914004692
10.1016/j.dib.2016.03.006,S1053811915011052
10.1016/j.dib.2016.03.012,S0898656816300304
10.1016/j.dib.2019.104215,S0142112319300593
10.1016/j.dib.2019.104573,S0022249618300944
10.1016/j.dib.2016.05.080,S0141022916300643
10.1016/j.dib.2018.01.052,S016752731735903X
10.1016/j.dib.2018.09.134,S0956566318306663
10.1016/j.dib.2018.11.046,S0378112718312994
10.1016/j.dib.2019.104229,S0965174818304417
10.1016/j.dib.2018.11.052,S1751616118309901
10.1016/j.dib.2018.09.120,S0378429018305355
10.1016/j.dib.2015.09.043,S014296121500678X
10.1016/j.dib.2021.107033,S0191886920307467
10.1016/j.dib.2020.106023,S0168945220301229
10.1016/j.dib.2016.08.060,S0927024816300617
10.1016/j.dib.2015.12.019,S0167701215301159
10.1016/j.dib.2015.02.019,S1874391915000172
10.1016/j.dib.2020.105258,S0926669018303236
10.1016/j.dib.2018.01.091,S0960894X17310727
10.1016/j.dib.2015.12.025,S0891584914004596
10.1016/j.dib.2020.105516,S0021915019300929
10.1016/j.dib.2016.08.048,S000689931630511X
10.1016/j.dib.2020.105502,S0749596X20300048
10.1016/j.dib.2018.01.085,S0308814616308949
10.1016/j.dib.2020.105933,S2352710220302035
10.1016/j.dib.2018.08.119,S1874391918301246
10.1016/j.dib.2020.106584,S0963996920306967
10.1016/j.dib.2020.106590,S0001691820300901
10.1016/j.dib.2014.11.001,S1874391914005016
10.1016/j.dib.2019.104771,S0160412019318689
10.1016/j.dib.2019.103778,S0043135418310406
10.1016/j.dib.2021.106846,S1342937X20303221
10.1016/j.dib.2018.08.125,S0277538718301517
10.1016/j.dib.2019.104759,S0013468619313763
10.1016/j.dib.2018.08.131,S2352409X18300828
10.1016/j.dib.2020.105728,S0959652620312567
10.1016/j.dib.2021.106891,S0921344920305723
10.1016/j.dib.2021.107557,S138912862100390X
10.1016/j.dib.2020.106221,S0010482519304019
10.1016/j.dib.2020.106547,S1047847720302264
10.1016/j.dib.2016.04.046,S0041008X16300692
10.1016/j.dib.2021.107225,S0048969721024153
10.1016/j.dib.2021.107543,S0956053X2100372X
10.1016/j.dib.2018.10.094,S0378112718314385
10.1016/j.dib.2019.103793,S2589915519300057
10.1016/j.dib.2021.107219,S0098300421000807
10.1016/j.dib.2019.104956,S0022113919302969
10.1016/j.dib.2020.105700,S0303846720300950
10.1016/j.dib.2018.06.006,S1369847816300390
10.1016/j.dib.2017.10.036,S2210670717300963
10.1016/j.dib.2018.10.080,S0360544218320085
10.1016/j.dib.2020.106209,S0959804920303877
10.1016/j.dib.2021.106926,S1755534521000154
10.1016/j.dib.2019.104177,S1618866718306939
10.1016/j.dib.2020.105847,S2213305419300268
10.1016/j.dib.2016.07.032,S1046592816300869
10.1016/j.dib.2019.104611,S0304380019303060
10.1016/j.dib.2021.107386,S2352710221004964
10.1016/j.dib.2018.08.079,S0022113917304943
10.1016/j.dib.2019.104605,S0022286019308701
10.1016/j.dib.2016.07.026,S0927024816302057
10.1016/j.dib.2019.01.002,S1057521918301376
10.1016/j.dib.2020.106382,S2213231720305632
10.1016/j.dib.2018.10.123,S0014483518302707
10.1016/j.dib.2018.08.051,S0378112718305607
10.1016/j.dib.2017.03.042,S000689931630806X
10.1016/j.dib.2018.05.099,S0038092X18303414
